Case,Recommended Solution
"METAL HEAD AUTOMOTIVE PARTS
Background
A consulting firm was hired by the CEO of a conglomerate. All divisions of this
conglomerate must have a 20% ROI. One division, Metal Head Auto Parts, has had
slowly declining profitability for the last seven years, and now has an ROI below
20%.
Question
What is the cause of the decline, and what are the options?
Additional Information
• The company makes several products which are made of lead and tin alloys:
- Stamped metal products (15%)
- Fuel filler hoses for cars (85%)
• The old CEO is nearing retirement.
• Market entry is very difficult because of environmental restrictions on lead and tin
manufacturing
• Metal Head has 44% of the market, the other two competitors have 50%
• The overall market has declined by 20% since 1986. Sales to the Big-3 have
declined even more, but the transplants are now about 10% of the market, up
from zero.
• The client has the lowest quality, highest prices, and worst delivery record
• Most of the sales are made to OEMs under long-term (5 year) contracts, usually
for the life of the model. The OEM does not design the hoses, just gives
specifications. The client does not sell to the transplants.
• Financial Information:

Client A B
R&D 10 15 20
OH 10 10 10
COGS 60 55 50
Sales 20 20 20","Approach
• Exploring industry trends will reveal that the overall market has declined by 20%;
thus, reduced demand is one source of the client’s loss in profitability
• Next, identify the area(s) in which the client has been performing poorly (quality,
cost, delivery).
• Recommend that the client needs to improve in these areas, but think through
which area should be targeted first. Possible answers include:
Change the sales structure (have dedicated representatives for each firm,
change the sales representative’s incentive structure)
- Expand to the transplant market
- Increase R&D. The fact that the client’s R&D is low as compared to
competitors’ indicates that the client’s equipment is below.
- Try to expand the stamped products market"
"INSULATION MANUFACTURER
Background
Your client manufactures insulation. Profits have been declining over the past 3-5
years.
Question
What are the causes of the declining profitability, and what measures should be
taken to reverse the decline?
Additional Information
• Sales volumes are flat
• Profit Margin = 10%
- 10% SG&A
- 30% Conversion process (equipment and labor to make insulation)
- 50% Raw Materials
• Market Share:
55% Client
25% Company A
10% Company B
10% Small, regional players
• Insulation is essentially a commodity product, with little brand differentiation. The
market price is $15/lb. Most manufacturers are near capacity (say 90% of
capacity).
• The insulation is used mostly for residential houses. The market is closely tied to
housing starts (and therefore overall GDP, interest rates, etc.)
• Distribution:
- 55% to insulation subcontractors (hired by builders - hundreds of them, but a
lot of consolidation over the past few years)
- 25% to retail stores (Home Depot, etc – a segment formerly comprised of
many small retail stores, but which is being consolidated by Home Depot,
Lowes, etc.)
- 20% to building products stores
• Sales volume increases have been to subcontractors, at the expense of building
products stores
• Pricing Levels:
- Highest level to retail stores, but declining due to the consolidation of retail
stores which is giving the retail stores more buyer power
- Mid-range prices to building products stores
- Rebates to volume purchasers in subcontractor market. (This is the most
price sensitive segment, because insulation is 95% of their COGS).","Approach
• To determine the cause of the declining profitability, explore the client’s customer
base. This will reveal that the shift in sales towards subcontractors, who are
becoming consolidated and thus gaining more buyer power, is reducing the
average price and thus eroding the profit margin
• Recommend to raise prices to all customers. Since the client is the industry
leader, others will follow the price hike. Furthermore, if the competition undercuts
the price, they don’t have the capacity to steal away the client’s market share."
"DEPARTMENT STORE
Background
The client is the CFO of a major department store. One year ago, a major competitor
opened a store down the street from one of its suburban locations. Since then, the
client’s store has experienced a loss in profitability.
Question
Why has the store lost profitability, and what should it do to increase profitability?
Additional Information
• The competitor services the same clientele
• Although both competitors operate nationally, we are only concerned with the
local market.
• The client’s sales are down by 30%.
• The clientele is comprised of 50% yuppies and 50% retirees.
• The competitor has:
- Same size store, same product mix
- Same prices as the client
- Parity in all other areas
• The client’s product mix consists of :
- Clothing (no change in sales)
- Appliances (35% decline in sales)
- Furniture (35% decline in sales)
• The competitor bundles a service contract into their price","Approach
• The first step is to exploring the exact loss in profitability (decline in sales of
appliances and furniture).
• Next, determine why there is a loss in those areas. Investigate if the competitor
offers different brands or different services (services contract).
• Upon realizing that the competitor is beating out the client on service,
recommend that the client make changes to its operations. Possibilities include:
1. Motivate and/or rehire the sales staff (i.e., hire better skilled sales
representatives or improve the sales incentives for sales in the poorly
performing areas)
2. Change the displays and layout in the store.
3. Match the competitor’s service policy."
"TEXTILE PRODUCTS
Background
A diversified UK manufacturer has retained your firm because its Textile Products
Group is experiencing declining revenues.
Question
Please identify why you believe revenues are declining and what recommendations
you would make?
Additional Information
Industry
• Group produces finished textile products such as uniforms, jackets, rucksacks,
etc.
Customer Segments
• Products are sold to a variety of segments
• The true problem lies with the Government Sales Division and sales to the US
government specifically.
Competitive Environment
• Industry is relatively fragmented with tight price competition. Number of
competitors decreased in early 1990’s as US government purchased fewer
products and less efficient producers were driven out of business. Client
survived this consolidation with relatively small difficulties.
• Excess capacity exists within American manufacturers and worldwide.
• Lobbying by US manufacturers has led to increasing emphasis by US
government to buy goods made in America. The end result is slight preference
for US companies, but foreign manufacturers still allowed to compete.
Competitors
• Roughly 10 players at any given time with market share almost equally
fragmented. Largest competitor has roughly 25% of market, but most have less
than 10%
• Client formerly had 12% of market, but now has less than 5% and continues to
slide.
• Largest competitors are distinguished by having better manufacturing ability
(variety and delivery time) than other American competitors but roughly equal to
client.
• Competitors cannot match quality of client who is ISO 9000 certified for both
development and manufacturing. No US manufacturers are ISO 9000 certified.
Client’s Strategic Starting Point
• In past, client was able to succeed through being relatively strong in all areas:
price, time, variety, and especially quality. Regulations are tilting the field against
the client.
• Client has excess UK capacity; therefore has preferred manufacturing only in UK.
• Client has recently partnered with a Malaysian manufacturer in order to pursue
bidding opportunities in Far East, where low prices are paramount. Client offered
manufacturing and quality expertise in exchange for equal split of production and
profits.
Economics of Business Decision
• Labor is 70% of costs and is therefore low labor rates are critical to overall price.
• Client’s cost structure differs slightly from that of American competitors. UK has
lower labor rates than US, but transportation costs are obviously higher to ship
finished goods from overseas.
• Customer segments: US government segment is only problem – all other
segments are achieving forecasted positions.
• Achieving ISO 9000 certification is time-consuming and expensive process due
to high learning cost for management to develop proper procedures. Once
procedures are developed for a specific type of manufacturing process, they are
easily transferred to other facilities.","Approach
Bad answers
• Exit industry.
• Continue competing on same basis.
Good answers:
• Start up an American manufacturing division from scratch. Will allow client to
compete, but exacerbates problem of excess capacity in addition to entry costs
(which are relatively low).
• Buy a current American manufacturer to circumvent regulations, while not adding
to capacity. Client could obtain funds for purchase but is not thrilled with
prospect.
• Lobby US to change “Buy American” regulations or encourage UK to match US
regulations until policy is changed (time-consuming process).
Best answer:
• Copy client’s Malaysian strategy by having client partner with an American firm.
Offer to bring partner’s standards up to ISO 9000 level in return for share of
production and profits. Client’s profits from US market will decrease compared
to historical level, but this is a given due to the current market environment."
"CONSUMER GOODS MANUFACTURER
Background
A consumer goods manufacturer has retained your firm because its snack foods
division is not performing as well as the competition.
• Frito Lay is the dominant player with 42% of the market, revenues of $5 billion,
and operating profits of $1 billion or 20%.
• Client has 8% of the market, revenues of $850 million, and operating profits of -
$25 million or –3%.
Question
The data above shows a 23% difference in operating profit margins. What is the
cause of this 23% gap?

Additional Information
• Division produces snack foods – primarily chips (potato, tortilla, etc.) but also
items such as cookies and cakes.
• Price: Frito Lay and client charge roughly the same prices for 80% of the product
range. However, for tortilla chips, Frito Lay charges $2.99/bag, while the client
only charges $1.99. Tortilla chips account for 20% of client revenues.
• Client’s costs break down as follows: COGS 45%, Shipping 5%, Local Market
Distribution 31%, Promotion 7%, Overhead 12%
• Client’s local delivery trucks deliver $3500 worth of goods each week, while Frito
Lay’s deliver $6000.","Approach
• Price: Tortilla chips are 20% of client revenues = $170 million. Frito Lay is
receiving $1 more per bag of chips. $1 is 50% of client’s price. 50% of $170
million = $85 million. $85 million is 10% of $850 million. Price accounts for 10%
of the 23% gap.
• Cost: Candidate must recognize that Local Market Distribution accounting for
31% of costs sounds high. Frito Lay is receiving $2500 per week more than
client, which is 42% of the $6000 total. 42% multiplied by 31% = 13%. Local
Market Distribution costs accounts for the remaining 13% of the 23% gap."
"REGIONAL ASIAN BANK
Background:

The processing division of a large regional Asian bank wants to improve its cost-to-
revenue ratio (CRR). Present calculations reveal that the current CRR is 0.60. The

client wants to improve this to the industry standard of 0.40.
Question:
What strategies can the client pursue to lower its CRR to 0.40?
Case Information:
The client provides back-office services for the bank’s three other divisions: Retail
Banking, Corporate Banking, and Regional Banking. These services include: credit
processing, payment processing, customer service processing, call center services,
and credit card processing.
The client receives $100M in annual revenues. In the past, revenues have always
grown or diminished in accordance with industry trends; costs increase and decrease
in proportion to revenue. This trend is expected to continue in the future. An analysis
of the revenue/cost distribution will show that revenue and costs are distributed
evenly among the three customers. [The candidate can calculate that costs are
approximately $60M]
The client is organized into three highly independent groups, with each group
servicing one customer. Analyzing the individual groups will reveal that none of them
stand out as being particularly inefficient, and they all have CRR’s of about 0.60.
However, there are many similarities and overlaps in the processes they perform (all
processes are handled internally). [There is no need for the candidate to explore the
specific processes or overlaps.]
A cost analysis will reveal two types of costs: labor and systems. Labor costs stem
from the organization’s workforce of 1,000 employees, with an average annual salary
of $40,000 to $45,000; salaries are in accordance with industry standards. [Salary
cuts are not advisable.] Systems costs are primarily IT related and comprise the
remainder of costs.
A study of the client’s IT systems will reveal that they are below industry level in
sophistication.
A competitive analysis will reveal that the average industry cost distribution is 60%
labor, 40% systems. No other information is available about competition.
The client has no control over the volume of revenue it receives from its three
internal customers. Furthermore, the client believes that strategies to boost revenue
by fine-tuning the operations of its customers are beyond the scope of the
engagement.
The client’s pricing for its internal customers is consistent with the industry standard.
The client is aware that it can increase revenues by increasing internal pricing, but
would like to hear other recommendations.","Analysis of Case:

The case can be approached by looking at ways to reduce costs and increase
revenues in order to hit the target.
The client’s labor/systems cost mix is 70/30%, compared with an industry standard of
60/40%. Upgrading IT systems may allow it to decrease its workforce, and reduce
overall costs.
The client can integrate its three groups, and look for synergies. Possible synergies
include integrating common processes and transferring best practices. This can
result in reduced manpower requirements and further cost savings. (The candidate
should list possible synergies that can occur from integration.)
Retail BO Retail
Corporate BO Corporate
Regional BO

Æ
Regional
BO

Reducing costs may not be enough to achieve the target CRR. There are no options
to increase revenues from the internal customers; however, the client can explore
insourcing, where they can offer processing services to external banks for services
for which they have high competencies. This can increase revenues substantially
while bringing economies of scale.
The client can combine the insourcing strategy with outsourcing the processes for
which it does not have competencies and which are not highly sensitive. The client
can determine its strategy to maintain, develop, insource, or outsource the different
processes as follows:
Competency
High Low
High
Maintain
Internally

Develop
Competency

Sensitivity
Low
Insource Outsource"
"FAMILY RUN PIPE COMPANY
Background
The client is a family-run steel mill that sells pipes. Recently, revenues have been
going up, but profits have been decreasing.
Question
How can the client increase profitability?
Additional Information
• The pipe market is highly fragmented
• The company has a single plant that runs 24/365 and sells everything it makes
• The company sells two grades of pipes – thick and thin
• Both grades are commodity products, but thin is a higher grade
• Labor costs, steel prices, and SG&A have all been constant; recently, more has
been spent on manufacturing
• Profitability breaks down as follows
Pipe type Price / foot Man. Cost / foot Profit / foot
Thick $2 $1 $
Thin $10 $8 $

• The company sells the same length of pipe regardless of grade in any given time
period
• Sales have recently been shifting toward thick pipes","Approach
• Should ask about product breakdown early on; this should lead to a discussion
about price and cost for each product.
• Once it is determined that the thin grade is more profitable than the thick grade,
realize that there might be a shift in sales across products.
• Issues to address in shifting sales back to thin pipes:
− Is there demand?
− Do customers prefer one-stop shopping (need to keep both lines)?
− Is there equal wear and tear on the plant?
Common Pitfall
Getting stuck on evaluating “pipes” together and not breaking out the two grades"
"CASINO PROFITABILITY
Background
The client owns 30 casinos across the US.
Question
How can the client increase profitability?
Additional Information
• The major US casino markets are currently saturated in terms of numbers of
casinos.
• Several competitors exist in each market.
• Profit margins break down as follows
Game Profit margin Profit/game (candidate should calculate)
25 cent slots 20% 5 cents
1 dollar slots 10% 10 cents
Blackjack 5%
Craps 2%","Approach
• Realize that the client needs to grow store for store. This implies increasing the
number of visitors or increasing the level of gambling/visitor.
• List possible ways to do each:
− Increase number of visitors:
1. Get frequent gamblers to visit more often / stay longer
2. Attract new gamblers
3. Extend geography
-- Increase level of gambling/visitor
1. Make it more fun
2. Push higher margin games
3. Stay longer on boat
4. Provide easier access to funds
5. No waiting lines
• Focus on “pushing higher margin games” – should ask for data on profit margins
(see above)
• Based on this information, slots are the big opportunity
• This should lead to a discussion of how to maximize usage of $1 slots. Use
quarter slots as a hook, switch quarter slot machines over to $1 slots during
periods where there may be a wait for $1 slot machines, etc."
"WIDGETS MANUFACTURER
Background
A machine tool manufacturer produces widgets. The Company’s profitability has
been stagnant over the last five years and as a result, your firm has been
approached to resolve this profitability issue.
Question
How would you go about improving the profitability of the widget?
Additional Information
• Widget has no substitutes and no other applications.
• Company feels it is impossible to increase market share.
• Company only produces this type of widget and it is not possible to produce other
widgets.
• Market for these widgets is stable and is not growing.
• There are 3 major players in the market with the following pricing and cost
structure:

Market Share Price Variable Cost Fixed Cost
Client 30% $10 $2.50 $0.50
Competitor A 60% $10.50 $2.50 $0.25
Competitor B 10% $9.75 $2.50 $0.75

• There is no room to lower marginal cost.
• Fixed costs cannot be lowered either.
• Customer feels it is essential that widget works because of safety reasons.
• Relationships with customers are based on trust and are long-term.
• Cost of widget is small compared to total cost of final product for client.","Approach
• Can either use Revenue/Cost approach or 3Cs
• Market has three main players that all utilize large markups
• Candidate should concur with Company view that stealing market share will be
difficult since this is a relationship business, and it could cause a price war which
would destroy the oligopoly profits currently being made in industry.
• Assume market is small, hard to break into, and other major players have no
interest in diversifying into this product.
• Because customer is very price inelastic, only way to increase revenues for client
is to raise price."
"OIL AND GAS COMPANY
Background
An oil and gas company has been experiencing a decline in profits.
Question
What is the root cause, and what would you recommend?
Additional Information
• The company is fully vertically integrated; its value chain includes exploration,
drilling, distribution, refining, and gas stations
• The industry as a whole has not experienced any significant changes in
profitability
• There have been no changes in profitability in the exploration, drilling,
distribution, or refining segments of the value chain (do not give up this
information too easily – let the candidate dissect the value chain)
• The company has recently opened up several new gas stations and located them
in wealthy suburbs; fixed costs have gone up
• The dembvand for gas is the same in wealthy suburbs as in other areas; the
company has not been losing money on gas
• The demand for fast, cheap, microwave, “gas station” food is much lower in
wealthy suburbs than in other areas; the company has been losing money on
food/drinks","Approach
• Begin with the 3C’s in order to determine what the company actually does; this
leads to a value chain discussion
• Dissect each segment of the value chain in terms of profitability
• Once it is realized that gas stations are the problem, inquire about the sources of
revenue from gas stations
• Realize that the root cause of the problem is that the company has been losing
money on food/drinks due to a mismatched product offering; recommend that the
company cater to its new customer base and adjust its product offering
accordingly"
"SOAP PRICING
Background
A company that makes one soap product has noticed that it is losing market share
and suspects that its pricing is to blame. The company currently charges $1.20/bar
as opposed to $1.00/bar charged by competitors.
Question
Should the company lower price?
Additional Information
Market
• Currently selling 15 million bars/year; were selling 20 million bars/year before
the firm started losing market share.
• The soap market is a mature industry (not growing rapidly).
• The company believes that lowering its price to $1.00/bar would boost volume
back to 20 million bars/year. (How would you test this? Consider a demand
analysis using demand instruments.)
Industry
• The company has a reputation of producing the highest-quality product on the
market.
• The industry is dominated by four main competitors. Currently the firm’s
market share is 12 percent. The competitors have market shares of 30, 20,
17 and 10 percent respectively.
• Currently, the client has the capacity to handle virtually any increase in
demand.
Cost Structure
The company cannot specify the overall cost of a unit (except that it is less than
$1.00 and greater than $0.80), but it does know the cost structure to be the following:
• 30 percent labor
• 20 percent inputs
• 20 percent general and administrative
• 20 percent overhead
• 10 percent other
The company is unsure if it has any cost advantage over other competitors, but it
clearly enjoys a reputation for the highest-quality products.","Approach
A profitability framework would probably work best here. Focus on incremental
revenue and cost numbers since total revenue and total cost numbers are not
available.
• Competitive Response: Reducing price would probably lead to a price war.
Since it is improbable that the company has a cost advantage, it would lose a
price war.
• Incremental Revenue: Using the assumption that demand would go from
15 million units to 20 million units with a $0.20 price decrease, the
incremental revenue would be 5 ( 1) = $5 million. But the firm would lose
$0.20 on the 15 million units for a $3 million decrease in revenue; so the
price decrease would lead to a net revenue increase of $2 million.
• Incremental Cost: Since the company has the additional capacity,
assume that labor and inputs rise linearly with volume and that everything
else is fixed (the candidate ought to suggest this assumption).
Sample Cost Numbers:
$1.00 leads to $0.50/unit, giving rise to $2.5 million.
$0.80 leads to 0.40/unit, giving rise to $2.0 million.
• Incremental Profit: The numbers above give an incremental profit ranging
from (0.5) to 0.

The incremental profit numbers, combined with the probability of a price war, make
reducing the price to $1.00 a bad idea. The company should focus instead on
quality, brand image, or segmenting the customer base."
"DIGITAL CAMERAS
Background
Client is a consumer good / consumer electronics company. One of its products,
Digital Cameras has never made a profit since its inception although the division has
enjoyed double digit growth the last 4 years. Investors are getting impatient with the
negative earnings.

Questions
1. What is a good target profit margin for the client (can be zero)?
2. Should the client exit the business?
3. What recommendation would you make to the CEO regarding the digital
camera division?

Additional Information
• Client sells digital camera through various retail channels: Wal-Mart, on-line,
photo shops, etc.
• Client does have different segments of camera, but for the purpose of this
case assume an average camera, priced at $200.00
• Quantity sold has been increasing, but client has been losing share across all
segments
• 4 major competitors:

Firm % Share Price
A 40% $220.00
B 15% $300.00
C 10% $260.00
D 10% $250.00

• 3 factors affect customer buying decision: brand image, good resolution and
good lenses
• Client has brand equity because of its presence in related markets
(camcorder, etc) and also use similar lenses to its competitors
• Client is not involved in any auxiliary product or services.
• Client’s cost per camera is the same as A - $205 per camera
• Cost structure

Cost Description A Client
Direct material 60% 40%
Direct labor 15% 40%
SG & A 10% 15%
R & D 10% 7%
Margin (to be calculated by candidate) 5% -2%
• Client’s assembly is done in the U.S, A’s assembly is done in a plant in
Beijing","Approaches
1. Use a REVENUE/COST or similar framework to structure your analysis
2. Do not try to probe the ‘average’ camera issue – this is a simplification, but
the other issues are more important in this case.
3. Conclude that client is losing share because of its poor resolution problem
and determine by comparing costs that this is most likely due to inferior
material
4. Use the numbers and table to quickly determine that the client is making a
loss due to the expensive labor – assembly in U.S. This is also why the client
is forced to buy inferior materials.
5. Determine that by outsourcing client can upgrade its direct material quality to
be competitive with A and make a 3% margin (R&D structure is fixed for
client)
Outstanding Answer
1. Note that closing plant will have union issues and outsourcing will have an
initial investment so a 3% margin may not be worth the effort
2. A low cost player (with inferior parts and outsourced assembly) may fetch
high margins but margins are not likely to last
3. Probe marketing synergies with other units – Does a presence in digital
camera help the camcorder division?
4. Do not be afraid to suggest exiting the business if your analysis does not find
any ‘nuggets’.
5. If you do recommend staying in the business make sure you outline why
staying in a commodity type business will help the client."
"INK-JET PRINTERS
Background
Our client is a world leader in printers – they manufacture different kind of printers
and have had a dominant market share in all categories of printers. However, the
CEO is worried that they might be losing share to competition.

Question
1. Is this true?
2. If so, how do we rectify the situation?

Background Information
• Five categories of printer: Category 1 being the slowest and Category 5 being
the fastest. Faster printers are used by commercial and slower by home
consumers.
• Competition and market share data as follows:
Printer – type Category 1 Category 2 Category 3 Category 4 Category 5
A (Sales) 4MM 1MM - - -
B (Sales) - - 2MM 5MM 20MM
Client 5MM 2MM 4MM 4MM 50MM

Printer – type Category 1 Category 2 Category 3 Category 4 Category 5
Industry ave
growth 20% 10% 5% 5% 4%
Client
growth -5% 10% 5% 5% 3%

• Category 1 customers are home consumers and care only about price
• Category 5 (candidate should deduce from above) is mature and does not
offer too much room for growth
• A’s printer is far inferior to client’s printer
• Price: client: $89.00, A: $49.00
• Client has 2% margin. Cost of printer to A is $69.00
• All manufacturers also supply cartridges – consumers buy $200.00 worth
of cartridges over the life of the printer.
• Consumers have to buy cartridges from the same manufacturer
• Firm A has a margin of $100.00 on the cartridges
• Client has a long-term, non-negotiable agreement with a Japanese
company for their category 1 printers. Margin is $20.00 on the cartridges
• Difference between category 1 & 2 is only in speed – (2 is faster)
manufacturing cost is the same. Agreement with Japanese player only for
category 1 printers","Approaches
To structure an analysis, first understand a bit about the company, the products (mix)
and see if there has been any price/quantity drops. Next, understand the customer
segment we serve, the benefits they seek and see if the competition is gaining share
because of a better product or better price. The 3-C framework works best for this
case, but one could also just look at it as a REVENUE/COST framework.
1. Client is growing at industry average in 3 of the 5 segments and slower than
industry average in 2, so conclude that the client must be losing share.
2. Category 1 clearly has higher potential because of high growth rates and the
fact that it also only has one competitor.
3. Firm A is pricing lower than the client does and customers are very price
sensitive – this is the cause of our poor performance.
4. Printer margins: Firm A = 49 – 69 = Loss of $20.00. Client, with a 2% margin,
makes ~$2.00 per printer.
5. However Firm A makes a profit of $80.00 on the printer + cartridges (100 –
20), while client makes only $22.00. In fact Firm A can give away the printer
for free and still make $11.00 in profits because of the cost advantage with
cartridges.
6. Do not be distracted by ‘loss-leader’ strategies or by harping on the quality
issue – these are possible answers but clearly it’s a price discrimination
(razor-blade) issue here.
Outstanding Answer
1. Client should start selling category 2 printers with a re-negotiated contract. If
our price is in the same range as Firm A, customers will prefer a better quality
/ faster printer and we can easily dominate the high-growth market."
"FREQUENT-EATER PROGRAM
Background
The CEO of a fast food chain wants to introduce a ‘frequent eater’ program.

Question
1. Is this a good idea?
2. What are the risks/issues that one must consider?

Additional Information
• For every $1.00 a customer spends, they get 1 point. The plan is to give
away a sandwich once a customer accumulates 20 points
• Candidate can start working assuming an average store and fine-tune later.
• An average store has around 8,000 ‘heavy’ eaters and 12,000 ‘light eaters’ –
segmentation beyond ‘heavy’ and ‘light’ not very relevant for this case
• Market survey indicates that heavy eaters will increase the frequency of visits
from 30 to 36 times a year; light users will increase frequency of visits from 9
to 12 times a year.
• Customers spend an average of $4.00 for every visit – this is the same for
heavy / light. (Heavy users just come more often, as explained in point 1).
• Around 20% of the heavy users are expected to participate in the program.
• Around 5% of the light users are expected to participate in the program.
• The “give-away” sandwiches cost $1.00 to make and there is a 50% gross
margin on the average items sold.
• Only 50% of the consumers who participate ever redeem / use the coupons.","Approaches
A revenue / cost approach works best for this case. The goal is to determine if this
program is profitable for the average store. Structure your analysis to determine the
revenue and cost drivers, thereby getting the information listed above. It is ok to
make some calculation errors, but it is important to identify all the revenue and cost
drivers and the participation %’s.
• Heavy user participants = 20% * 8000 = 1600
• Increase in revenue for heavy users = 1600 * (36 – 30) * $4.00 = $38,400.
Gross increase in earnings (50% margin) = $19,200.
• Light user participants = 5% * 12000 = 600
• Increase in revenue for light users = 600 * (12 – 9) * $4.00 = $7200. Gross
increase in earnings = $3600.
• Net increase in gross earnings = $22,800.
• Cost of providing free sandwich to heavy users = 1600 * (36 * 4 / 20) =
$11,520. At 50% redemption, the cost is $5,760.00

• Cost of providing free sandwich to light users = 600 * (12 * 4/20) = $1,440. At
50% redemption the cost is $720.
• Net value to average store is (phew) = $22,800 – $6,480 = $16,320.
• So conclude that program will be profitable to the average store.
Outstanding Answer
• Structure all your calculations so that they are easy to follow – this way, if you
make a mistake, the interviewer can correct your numbers. Also, it is OK to
approximate / ball-park, but you should state your approximations loudly.
• Once you prove the program is valuable for the average store, think about
problems associated with different kinds of stores: highway stores may not
benefit as much as stores in suburbia for example!
• What if competition comes up with a similar program? Will there be any
increase in visits?"
"CREDIT CARD – MILES & MORE PROGRAM
Background
The CEO of a major credit card company is interested in having an airline frequent
flyer program. The program would give the customer one frequent flyer mile for every
dollar charged. Customers can redeem the miles for one round-trip ticket (within US)
for every 5000 miles. The program is intended for a new card that the company is
planning.
Question
• Is this a good idea ?
This case does not have any specific information – the candidate must be tested for
structure, organization and creativity in his analysis. The candidate is also expected
to make estimates of market size.
Additional Information
• Company gets 1% for every transaction from merchants
• Average customer is expected to have balance of $2000 on the card and
have transactions worth $5000 a year. The interest rate is 20%
• Cost of the redeemed ticket - $200.00
• No new investment is required – existing systems/personnel can be used.","Analysis
The issues are best discussed in a REVENUE/COST framework as below:
Revenue:
• Program would be attractive to people who fly frequently. Do a back of the
envelope calculation to estimate the target segment. For example: 100 million
families in the US, 50% have credit cards – 50MM size of base segment.
25% travel more than once a year – so a potential 12.5MM cardholders will
consider the program favorably. Conclude that there is an attractive target
segment
• Next estimate the revenue per customer: 2000 * 0.2 + 5000 * 0.01 = 450.00
Cost:
• Cost of infrastructure/support for new program – negligible as we already
have an infrastructure in place.
• Cost of ticket $200.00
• Need to think about acquisition cost (promotion): ~$50.00
Strategic Issues:
• Sticky customers (good), blackout problems with tickets (bad)

• Will all credit cards"
"AUTO PART MANUFACTURER
Background
Your client is a manufacturer of an auto part. It is a relatively simple part to
manufacture, yet it is essential to operate a car.

Question
How can the company experience growth across its distribution channels?

Additional Information
• Part goes under the hood
• Market: slow growth (mirrors inflation rate)
• Competitors: 3 other main competitors
o Client has 30% share, Biggest competitor 30% share, others split the rest
• Repair: part can be replaced by customer (do-it-yourself) or by a mechanic

• Current Channels (after-market) – 1) Small mechanics (70%) 2) Large full-
service mechanics (10%) 3) Auto Parts Chain Stores (10%) 4) Mass

Merchandisers (10%)
• Market Mix – 1) Small mechanics (40%) 2) Large full-service mechanics (20%) 3)
Auto Parts Chain Stores (20%) 4) Mass Merchandisers (20%)
• Prices client charge – 1) Small mechanics ($85) 2) Large full-service mechanics
($70) 3) Auto Parts Chain Stores ($60) 4) Mass Merchandisers ($50)
• Client manufactures 30 Million units
• Market Demand: 100 Million units
• Client Costs: Mfg. Cost ($45/unit), Transportation ($10/unit to small mechanics,
$5/unit to others); all other costs are negligible","Approach
Determine the most profitable channels and the ones with the most potential. The
key is making sure you have asked for/received the relevant information and then
making the necessary calculations. The following tables give way to a potential
method for cracking the case:
Channels Client
Product
Mix

Market
Mix

Client
Price

Mfg
Costs

Trans.
Costs

Margin

(1) 70% 40% $85 $45 $10 $30
(2) 10% 20% $70 $45 $5 $20
(3) 10% 20% $60 $45 $5 $10
(4) 10% 20% $50 $45 $5 $0

Channels Our Units Market Units Opportunity
(units)
(1) 21 MM 40 MM 19 MM
(2) 3 MM 20 MM 17 MM
(3) 3 MM 20 MM 17 MM
(4) 3 MM 20 MM 17 MM
Total 30 MM 100 MM

Channels Opportunity
(units)

Price margin
(1) 19 MM $85 $30
(2) 17 MM $70 $20
(3) 17 MM $60 $10
(4) 17 MM $50 $0

Since the small mechanics channel has the most potential as well as the greatest
margin/unit, it is clear that a good strategy would be to devote additional resources to
growing this segment which already represents 70% of their business."
"WHITEWAY ELECTRONICS
Background
Our client is the second largest manufacturer of white electronics (micro-waves
ovens, dish-washers, refrigerators, washing machines, etc.) in the US. The client’s
profitability has declined over the last few years (no specific decline given).
Question
How would you approach / analyze the situation? Make a recommendation.

Additional Information
• There are 7 competitors in the US market. The leader and our client lose
money while the third largest competitor is profitable.
• The industry is growing at a very slow rate, primarily driven by demographics,
and margins are increasingly under pressure due to domestic and foreign
competitors. We assume, however, that manufacturing and R&D of all foreign
competitors is done in the US.","Approach
The usual approach revenues lest can be used.
• There is limited information available on the revenue side. Given the broad
range of products, there is no average price. All we know is that our client is
second in the industry in terms of revenues. We can also assume that
pricing strategies are comparable to our competitors with low- and high-end
products.
• In terms of cost, the following information is provided [in percent of revenues]:

 Labor 30%
 Material (including components) 60%
 Overhead 15%

HINT: The sum is >100%. The company’s financial loses equal to 5% of the
revenues.

• As mentioned before, player #3 is the only profitable competitor. Its costs [in
percent of revenues] are:

 Labor 30%
 Material (including components) 50%
 Overhead 15%

• Several possible ways can be explored to identify why our client has higher
material costs:
o Raw material: most of the raw material is steal and plastic =>
commodities. Our client has a large volume of sales => economies of
scale => purchase of raw material represents an advantage over its
competitors.
o Components: Our client has the same suppliers as its competitors.
There is, therefore, no difference in terms of quality and price per unit.
o Design. The R&D people claim that products are modified in order to
improve quality and functionality, and to meet any new market
demand. It appears, however, that a product with the exact same
functionality, price, and comparable quality has 30% more
components than competitor no. 3. This explains the difference in
material cost between our client and competitor no. 3.

Conclusion: Our client is an R&D driven company (the value added chain can
also be part of the analysis). The products were of good quality, yet more
expensive and more complicated to assemble than those of competitor no. 3.
How would you prove to your client that their products are more complex?
One possible answer is to take two products (from our client and competitor no.
3) and compare the number of components.
• Product mix is not an issue. It has remained the same for several years and
margins are about the same for all product-lines.
• Fixed and variable costs are not an issue and do not explain the difference in
profitability."
